"interval","ID","Name","interval_score"
"[1896–1912]",118890,"Henry Taylor",16
"[1896–1912]",53973,"John Arthur Jarvis",10
"[1896–1912]",46568,"John Gatenby ""Jack"" Hatfield",5
"[1896–1912]",35814,"Jennie Fletcher (-Hyslop)",4
"[1896–1912]",27693,"John Henry ""Rob"" Derbyshire",4
"[1896–1912]",36449,"William ""Willie"" Foster",4
"[1896–1912]",113733,"Annie Coupe Speirs (-Coombe)",3
"[1896–1912]",49454,"Frederick ""Fred"" Holman",3
"[1896–1912]",114629,"Irene Steer (-Nicholson)",3
"[1896–1912]",81652,"Isabella Mary Moore (-Cameron)",3
"[1896–1912]",98174,"Paolo Francesco ""Paul""  Radmilovic",3
"[1896–1912]",8632,"Thomas Sydney Battersby",3
"[1896–1912]",101471,"William Walker Robinson",2
"[1896–1912]",46033,"Herbert Nickall ""Bert"" Haresnape",1
"[1896–1912]",23478,"Percy Courtman",1
"[1896–1912]",58638,"Peter Kemp",1
"[1896–1912]",47761,"William Henry",1
"[1920–1936]",22942,"Margaret Joyce Cooper (-Badcock)",5
"[1920–1936]",54125,"Constance Mabel ""Connie"" Jeans",4
"[1920–1936]",60480,"Ellen Elizabeth King (-McPhearson, -Pearson)",4
"[1920–1936]",77696,"Grace McKenzie (-Nelson, -Morgan)",4
"[1920–1936]",118490,"Iris Vera Tanner (-Murrell, -Curran)",4
"[1920–1936]",82356,"Lucy Morton (-Heaton)",3
"[1920–1936]",98114,"Charlotte Helen Radcliffe",2
"[1920–1936]",25652,"Elizabeth Valerie Davies (-Latham)",2
"[1920–1936]",7887,"Florence Barker",2
"[1920–1936]",53481,"Hilda Marjorie James (-McAllister)",2
"[1920–1936]",45988,"Phyllis May Harding (-Turner)",2
"[1920–1936]",115135,"Sarah Gillow Marshall ""Cissie"" Stewart (-Hunt)",2
"[1920–1936]",50862,"Edna Tildesley Hughes (-Redwood)",1
"[1920–1936]",93793,"Edward Percival ""Percy"" Peter",1
"[1920–1936]",18609,"Gladys Helena Carson (-Hewitt)",1
"[1920–1936]",4432,"Harold Edward Annison",1
"[1920–1936]",125211,"Helen Gradwell Varcoe (-Nicholls)",1
"[1920–1936]",118890,"Henry Taylor",1
"[1920–1936]",106180,"Leslie Savage",1
"[1948–1976]",130463,"David Andrew Wilkie",7
"[1948–1976]",71256,"Anita Lonsbrough (-Porter)",3
"[1948–1976]",42999,"Judith Brenda Grinham (-Rowley, -Roe)",3
"[1948–1976]",115123,"Natalie Alwyne Steward",3
"[1948–1976]",131530,"Martyn John Woodroffe",2
"[1948–1976]",77582,"Robert Bilsland ""Bobby"" McGregor",2
"[1948–1976]",77327,"Alan McClatchey",1
"[1948–1976]",15131,"Brian Brinkley",1
"[1948–1976]",40164,"Catherine ""Cathie"" Gibson (-Brown)",1
"[1948–1976]",30701,"David Michael Dunne",1
"[1948–1976]",29790,"Gordon Hunter Downie",1
"[1948–1976]",41823,"Helen Orr ""Elenor"" Gordon-McKay",1
"[1948–1976]",31493,"Margaret Edwards (-Wilding)",1
"[1980–2016]",980,"Rebecca ""Becky"" Adlington",8
"[1980–2016]",92529,"Adam George Peaty",5
"[1980–2016]",41689,"Duncan Alexander Goodhew",4
"[1980–2016]",107993,"Duncan William MacNaughton Scott",4
"[1980–2016]",44231,"James George Guy",4
"[1980–2016]",18278,"Jazmin Roxy ""Jazz"" Carlin",4
"[1980–2016]",81694,"Adrian David Moorhouse",3
"[1980–2016]",25615,"David ""Dave"" Davies",3
"[1980–2016]",23878,"June Alexandra Croft",3
"[1980–2016]",40368,"Nicholas ""Nick"" Gillingham",3
"[1980–2016]",45966,"Sarah Lucy Hardcastle (-Thomas)",3
"[1980–2016]",89730,"Ann Osgerby",2
"[1980–2016]",128145,"Christopher James ""Chris"" Walker-Hebborn",2
"[1980–2016]",128156,"Daniel ""Dan"" Wallace",2
"[1980–2016]",53519,"Helen Jameson",2
"[1980–2016]",92413,"Keri-Anne Payne (-Carry)",2
"[1980–2016]",58598,"Margaret Mary ""Maggie"" Kelly-Hohmann",2
"[1980–2016]",53535,"Michael John Jamieson",2
"[1980–2016]",22161,"Neil Cochran",2
"[1980–2016]",90861,"Paul Rory Palmer",2
"[1980–2016]",50691,"Philip Hubble",2
"[1980–2016]",100032,"Robert Peter ""Robbie"" Renwick",2
"[1980–2016]",25646,"Sharron Elizabeth Davies (-Crisp, -Redmond, -Kingston)",2
"[1980–2016]",87890,"Siobhan-Marie O'Connor",2
"[1980–2016]",80002,"Stephen Milne",2
"[1980–2016]",5706,"Andrew ""Andy"" Astbury",1
"[1980–2016]",53516,"Andrew David ""Andy"" Jameson",1
"[1980–2016]",92099,"Cassandra Lily ""Cassie"" Patten",1
"[1980–2016]",71790,"David Lowe",1
"[1980–2016]",509,"Gary Abraham",1
"[1980–2016]",112264,"Graeme Smith",1
"[1980–2016]",53116,"Joanne Amy ""Jo"" Jackson",1
"[1980–2016]",118923,"Mark Taylor",1
"[1980–2016]",50355,"Paul Anthony Howe",1
"[1980–2016]",75425,"Paul Julian Marshall",1
"[1980–2016]",31192,"Paul Robert Easter",1
"[1980–2016]",91786,"Stephen Benjamin ""Steve"" Parry",1
"[1980–2016]",112350,"Trevor Martin Smith",1
