name_UID,X1896.Summer,X1900.Summer,X1904.Summer,X1906.Summer,X1908.Summer,X1912.Summer,X1920.Summer,X1924.Summer,X1924.Winter,X1928.Summer,X1928.Winter,X1932.Summer,X1932.Winter,X1936.Summer,X1936.Winter,X1948.Summer,X1948.Winter,X1952.Summer,X1952.Winter,X1956.Summer,X1956.Winter,X1960.Summer,X1960.Winter,X1964.Summer,X1964.Winter,X1968.Summer,X1968.Winter,X1972.Summer,X1972.Winter,X1976.Summer,X1976.Winter,X1980.Summer,X1980.Winter,X1984.Summer,X1984.Winter,X1988.Summer,X1988.Winter,X1992.Summer,X1992.Winter,X1994.Winter,X1996.Summer,X1998.Winter,X2000.Summer,X2002.Winter,X2004.Summer,X2006.Winter,X2008.Summer,X2010.Winter,X2012.Summer,X2014.Winter,X2016.Summer
Gaston Jules Louis Antoine Alibert 2723,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gaston Marcel Amson 3544,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Claude Henri Ferdinand Dalmas Arabo 4766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
douard Jos Artigas 5380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albert Jean Louis Ayat 6211,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ren Barbier 7750,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valrie Gisele Angele Barlois-Mevel-Leroux 7920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
Bernard Paul Arthur Baudoux 8678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Herman Georges Berger 10445,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gilles Berolatti 10774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
