"","fullname","y1939","y1940","y1941","y1942","y1943","y1944","y1945"
"1","Adolph Walter",1,14,8,0,0,0,0
"2","Balfanz Wilfried",1,3,3,0,0,0,0
"3","Bar Heinz",1,12,18,49,48,25,0
"4","Baun Albrecht",2,6,0,0,0,0,0
"5","Berthel Hans",2,5,0,0,0,0,0
"6","Böhner Otto",1,3,3,1,0,0,0
"7","Bretnütz Heinz (Pietzsch)",3,26,6,0,0,0,0
"8","Burschgens Josef",4,16,0,0,0,0,0
"9","Claus Georg",2,19,0,0,0,0,0
"10","Clausen Erwin",1,3,15,102,12,0,0
"11","Eberle Friedrich",1,2,0,0,3,2,0
"12","Eggers Leo",2,5,0,0,0,0,0
"13","Falck Wolfgang (Wolf)",5,3,0,0,0,0,0
"14","Fenske Walter",2,0,6,2,2,0,0
"15","Fleischmann Georg",4,2,0,0,0,0,0
"16","Fözö Josek 'Joschko'",1,14,10,0,0,0,0
"17","Fresia Heinz",4,4,0,0,0,0,0
"18","Frey Hugo",1,1,0,1,22,7,0
"19","Furher Gunther",2,10,3,2,0,0,0
"20","Gawlick Franz",2,5,1,0,0,0,0
"21","Geisshardt Friedrich (Fritz)",1,6,21,74,2,0,0
"22","Gentzen Johannes",15,1,0,0,0,0,0
"23","Gerhardt Werner",2,0,4,8,0,0,0
"24","Gerlitz Erich",3,6,8,6,0,1,0
"25","Glienke Joachim",2,4,0,0,0,0,0
"26","Gollob Gordon",2,3,80,64,0,0,0
"27","Grasser Hartmann",2,5,35,58,5,0,0
"28","Groth Erich",4,12,0,0,0,0,0
"29","Hahn Hans von",1,13,20,0,0,0,0
"30","Harder Harro",1,5,0,0,0,0,0
"31","Hauck Friedrich",4,3,0,0,0,0,0
"32","Held Alfred",2,0,1,0,3,0,0
"33","Henz Helmut",2,2,2,0,0,0,0
"34","Herzog Gerhard",1,1,4,4,0,0,0
"35","Hier Karl",2,14,0,0,0,0,0
"36","Hobein Wilhelm",3,11,0,0,0,0,0
"37","Hoffmann Wilhelm",1,0,0,1,0,9,0
"38","Jager Hans",5,3,0,0,0,3,0
"39","Joppien Hermann-Friedrich (Jupp)",1,29,40,0,0,0,0
"40","Jung Berthold",2,5,0,0,0,0,0
"41","Kaiser Franz",2,6,1,0,0,0,0
"42","Kauffmann Werner",1,9,0,0,0,0,0
"43","Kley Erwin",3,5,4,12,0,0,0
"44","Kobert Rudolf",1,6,0,0,0,0,0
"45","Kornatz Hans",2,2,0,19,5,4,0
"46","Koslowski Eduard",1,3,2,1,0,0,0
"47","Kuhlmann Erich",2,5,0,0,0,0,0
"48","Kutscha Herbert",1,2,0,2,11,4,0
"49","Lange Heinz",1,0,7,9,7,8,0
"50","Laufs Peter",1,1,4,0,0,0,0
"51","Lent Helmut",4,4,20,29,27,28,0
"52","Lessmann Wilhelm",2,0,0,4,0,0,0
"53","Lippert Wolfgang",1,16,9,0,0,0,0
"54","Mayer Hans-Karl",1,21,0,0,0,0,0
"55","Methfessel Werner",5,2,0,0,0,0,0
"56","Mölders Werner 'Vati'",3,52,47,0,0,0,0
"57","Muller Helmuth",1,8,0,0,0,0,0
"58","Münchenberg Joachim",1,22,44,0,13,0,0
"59","Niemeyer Otto",2,2,3,0,0,0,0
"60","Nordmann Karl-Gottfried",1,7,48,0,0,0,0
"61","Philipp Hans",1,18,0,52,80,1,0
"62","Pingel Rolf",2,15,5,0,0,0,0
"63","Pitcairn Douglas",2,5,0,0,0,0,0
"64","Prestele Ignaz",6,6,1,1,0,0,0
