"domain","retained_pct","kmin","n_kept","p_dLN","p_Zipf","p_Geom","winner","adequate_dLN","adequate_any"
"LW",20,46,231,0.860696517412935,0.278606965174129,0.0796019900497512,"dLN",TRUE,TRUE
"LW",25,38,290,0.890547263681592,0.0995024875621891,0.0845771144278607,"dLN",TRUE,TRUE
"LW",30,31,351,0.885572139303483,0.0248756218905473,0.18407960199005,"dLN",TRUE,TRUE
"LW",35,26,412,0.995024875621891,0.00497512437810945,0.228855721393035,"dLN",TRUE,TRUE
"LW",40,22,467,0.995024875621891,0.00497512437810945,0.323383084577114,"dLN",TRUE,TRUE
"LW",45,19,526,0.880597014925373,0.00497512437810945,0.174129353233831,"dLN",TRUE,TRUE
"LW",50,16,596,0.756218905472637,0.0099502487562189,0.0348258706467662,"dLN",TRUE,TRUE
"LW",55,14,669,0.283582089552239,0.0149253731343284,0.00497512437810945,"dLN",TRUE,TRUE
"LW",60,13,714,0.0995024875621891,0.0099502487562189,0.00497512437810945,"dLN",TRUE,TRUE
"LW",65,12,749,0.169154228855721,0.0199004975124378,0.00497512437810945,"dLN",TRUE,TRUE
"LW",70,10,852,0.0995024875621891,0.00497512437810945,0.00497512437810945,"dLN",TRUE,TRUE
"LW",75,9,907,0.0845771144278607,0.0149253731343284,0.00497512437810945,"dLN",TRUE,TRUE
"LW",80,8,970,0.124378109452736,0.00497512437810945,0.00497512437810945,"dLN",TRUE,TRUE
"BIO",20,40,109,0.81592039800995,0.721393034825871,0.412935323383085,"dLN",TRUE,TRUE
"BIO",25,35,134,0.920398009950249,0.641791044776119,0.318407960199005,"dLN",TRUE,TRUE
"BIO",30,29,159,0.781094527363184,0.0497512437810945,0.681592039800995,"dLN",TRUE,TRUE
"BIO",35,23,184,0.6318407960199,0.00497512437810945,0.398009950248756,"dLN",TRUE,TRUE
"BIO",40,20,212,0.72636815920398,0.0149253731343284,0.72636815920398,"dLN=Geom",TRUE,TRUE
"BIO",45,18,240,0.308457711442786,0.0149253731343284,0.154228855721393,"dLN",TRUE,TRUE
"BIO",50,16,265,0.293532338308458,0.0348258706467662,0.0497512437810945,"dLN",TRUE,TRUE
"BIO",55,14,297,0.159203980099502,0.0597014925373134,0.0248756218905473,"dLN",TRUE,TRUE
"BIO",60,13,318,0.164179104477612,0.0646766169154229,0.0149253731343284,"dLN",TRUE,TRUE
"BIO",65,11,344,0.248756218905473,0.0945273631840796,0.0149253731343284,"dLN",TRUE,TRUE
"BIO",70,10,370,0.194029850746269,0.0845771144278607,0.00497512437810945,"dLN",TRUE,TRUE
"BIO",75,8,397,0.233830845771144,0.00497512437810945,0.0099502487562189,"dLN",TRUE,TRUE
"BIO",80,6,432,0.278606965174129,0.00497512437810945,0.0248756218905473,"dLN",TRUE,TRUE
"CS",20,13,306,0.90547263681592,0.686567164179104,0.0199004975124378,"dLN",TRUE,TRUE
"CS",25,12,371,0.965174129353234,0.666666666666667,0.0199004975124378,"dLN",TRUE,TRUE
"CS",30,11,438,0.935323383084577,0.26865671641791,0.0099502487562189,"dLN",TRUE,TRUE
"CS",35,10,530,0.90547263681592,0.0796019900497512,0.0099502487562189,"dLN",TRUE,TRUE
"CS",40,10,530,0.90547263681592,0.0796019900497512,0.0099502487562189,"dLN",TRUE,TRUE
"CS",45,9,629,0.825870646766169,0.0348258706467662,0.0099502487562189,"dLN",TRUE,TRUE
"CS",50,8,722,0.502487562189055,0.00497512437810945,0.0348258706467662,"dLN",TRUE,TRUE
"CS",55,7,831,0.338308457711443,0.00497512437810945,0.0945273631840796,"dLN",TRUE,TRUE
"CS",60,7,831,0.338308457711443,0.00497512437810945,0.0945273631840796,"dLN",TRUE,TRUE
"CS",65,6,960,0.417910447761194,0.00497512437810945,0.0298507462686567,"dLN",TRUE,TRUE
"CS",70,6,960,0.417910447761194,0.00497512437810945,0.0298507462686567,"dLN",TRUE,TRUE
"CS",75,5,1071,0.432835820895522,0.00497512437810945,0.054726368159204,"dLN",TRUE,TRUE
"CS",80,5,1071,0.432835820895522,0.00497512437810945,0.054726368159204,"dLN",TRUE,TRUE
"USOT_S",20,8,94,0.497512437810945,0.701492537313433,0.00497512437810945,"Zipf",TRUE,TRUE
"USOT_S",25,7,112,0.492537313432836,0.258706467661692,0.0447761194029851,"dLN",TRUE,TRUE
"USOT_S",30,6,167,0.442786069651741,0.517412935323383,0.00497512437810945,"Zipf",TRUE,TRUE
"USOT_S",35,6,167,0.442786069651741,0.517412935323383,0.00497512437810945,"Zipf",TRUE,TRUE
"USOT_S",40,5,199,0.194029850746269,0.00497512437810945,0.0248756218905473,"dLN",TRUE,TRUE
"USOT_S",45,4,223,0.129353233830846,0.00497512437810945,0.0447761194029851,"dLN",TRUE,TRUE
"USOT_S",50,3,376,0.0099502487562189,0.00497512437810945,0.00497512437810945,"dLN",FALSE,FALSE
"USOT_S",55,3,376,0.0099502487562189,0.00497512437810945,0.00497512437810945,"dLN",FALSE,FALSE
"USOT_S",60,3,376,0.0099502487562189,0.00497512437810945,0.00497512437810945,"dLN",FALSE,FALSE
"USOT_S",65,3,376,0.0099502487562189,0.00497512437810945,0.00497512437810945,"dLN",FALSE,FALSE
"USOT_S",70,3,376,0.0099502487562189,0.00497512437810945,0.00497512437810945,"dLN",FALSE,FALSE
"USOT_S",75,3,376,0.0099502487562189,0.00497512437810945,0.00497512437810945,"dLN",FALSE,FALSE
"USOT_S",80,3,376,0.0099502487562189,0.00497512437810945,0.00497512437810945,"dLN",FALSE,FALSE
"FRAOT_F",20,6,38,NA,NA,NA,NA,FALSE,FALSE
"FRAOT_F",25,6,38,NA,NA,NA,NA,FALSE,FALSE
"FRAOT_F",30,5,51,1,0.955223880597015,0.980099502487562,"dLN",TRUE,TRUE
"FRAOT_F",35,5,51,1,0.955223880597015,0.980099502487562,"dLN",TRUE,TRUE
"FRAOT_F",40,4,60,0.965174129353234,0.213930348258706,0.497512437810945,"dLN",TRUE,TRUE
"FRAOT_F",45,3,101,0.383084577114428,0.552238805970149,0.0447761194029851,"Zipf",TRUE,TRUE
"FRAOT_F",50,3,101,0.383084577114428,0.552238805970149,0.0447761194029851,"Zipf",TRUE,TRUE
"FRAOT_F",55,3,101,0.383084577114428,0.552238805970149,0.0447761194029851,"Zipf",TRUE,TRUE
"FRAOT_F",60,3,101,0.383084577114428,0.552238805970149,0.0447761194029851,"Zipf",TRUE,TRUE
"FRAOT_F",65,3,101,0.383084577114428,0.552238805970149,0.0447761194029851,"Zipf",TRUE,TRUE
"FRAOT_F",70,3,101,0.383084577114428,0.552238805970149,0.0447761194029851,"Zipf",TRUE,TRUE
"FRAOT_F",75,2,137,0.223880597014925,0.0447761194029851,0.134328358208955,"dLN",TRUE,TRUE
"FRAOT_F",80,2,137,0.223880597014925,0.0447761194029851,0.134328358208955,"dLN",TRUE,TRUE
